id,concept_type,concept_uri,preferred_label,isco_level_1,isco_level_2,isco_level_3,isco_level_4,is_top_level,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,total_paid_hours,employment_count,employment_share,risk,prevalence,risk_category,onet_code,onet_occupation,level_1,level_2,skills_based_sector_code,sub_sector_code,skills_based_sector,sub_sector,remote_labor_index,physical_proximity,exposure_score
0,Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,technical director,2,21,216,2166,False,4.0,6.247699999999999,8.0309,4.3843,37555.30817610063,36.67020202020202,,,3.4674114021571643,0.7608628659476115,Other,27-1011.00,art directors,5,25,6,6.3,arts & media workers,creative managers & graphic designers,0.7333333329999999,0.585,0.3949683534094853
1,Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,metal drawing machine operator,8,81,812,8121,True,2.0,2.1163,2.4383,3.6486,22031.96363636364,39.9041095890411,645.0,2.0059523747455083e-05,3.3075988970198322,0.8000318167356028,Low risk,51-4021.00,"extruding and drawing machine setters, operators, and tenders, metal and plastic",3,16,4,4.1,manufacturing workers,metal workers & machine operators,0.125,0.5125,0.6696547617989437
2,Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,precision device inspector,7,75,754,7543,False,2.0,2.5397000000000003,4.8863,4.0288,22430.36764705882,38.70938628158846,,,3.5474359567187643,0.65652455377786,Other,51-9061.00,"inspectors, testers, sorters, samplers, and weighers",0,0,1,1.1,"technicians, construction, transport & security workers",engineering technicians,0.095238095,0.645,0.7639184699462371
3,Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,air traffic safety technician,3,31,315,3155,True,3.0,4.3848,5.4808,4.0782,32754.0,42.036716417910455,2797.0,8.699001380301165e-05,3.4601818281696333,0.4817073170731708,Other,17-3023.01,electronics engineering technicians,0,3,1,1.4,"technicians, construction, transport & security workers",transport & security workers,,0.5375,
4,Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,2,24,243,2431,True,4.0,6.8261,6.348100000000001,3.8265,38839.81637717121,36.3546762589928,20834.0,0.000647977713032387,3.624351244453018,0.6930349218599267,Other,13-1161.00,market research analysts and marketing specialists,1,9,2,2.4,business & administration workers,business managers,0.9,0.35750000000000004,0.1890767040118904
5,Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,medical laboratory assistant,3,32,321,3212,True,3.0,5.7431,4.5363,3.9548,21517.582278481008,35.246808510638296,20808.0,0.0006471668244759473,3.4761534839924666,0.6478342749529191,Other,29-2012.00,medical and clinical laboratory technicians,4,20,5,5.1,engineers & researchers,researchers & science technicians,,0.6475,
6,Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,asphalt laboratory technician,3,31,311,3116,False,4.0,6.6362999999999985,4.3645999999999985,3.5456,29328.601694915254,38.68692579505301,,,3.30120657374662,0.6623673809028499,Other,17-2041.00,chemical engineers,0,1,1,1.2,"technicians, construction, transport & security workers",construction workers & supervisors,0.666666667,0.4525,0.3883726730635152
7,Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,primary school teaching assistant,5,53,531,5312,True,3.0,3.6277,3.9765,2.7602,15945.319226118501,27.634427057041897,138321.0,0.0043021340606608244,3.4482901453538672,0.5984599411662919,Other,25-9041.00,teacher assistants,6,29,7,7.2,education workers,teachers & childcare workers,0.444444444,0.8799999999999999,0.6992058990597834
8,Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,2,22,226,2264,True,5.0,9.0778,4.191699999999999,2.3448,28764.0,31.3,12806.0,0.0003982983283703473,3.36305943521256,0.33408094606993577,Other,29-1123.00,physical therapists,10,41,11,11.1,healthcare workers,doctors & specialist therapists,0.409090909,0.9975,0.7677446308978657
9,Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,performing arts theatre instructor,2,23,231,2310,False,5.0,10.0892,6.266,2.7713,40843.04347826087,29.556549520766772,,,3.3545915971243816,0.43329359488457786,Other,25-1125.00,"history teachers, postsecondary",6,30,7,7.3,education workers,lecturers,0.85,0.36,0.23237900077244505
10,Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,hydrogenation machine operator,8,81,816,8160,True,2.0,2.0478,3.9646,3.1842,20363.62,39.24095744680851,2790.0,8.677279059332823e-05,3.4592332987192798,0.8176272066458984,Other,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",8,36,9,9.2,food & tobacco production workers,food & tobacco production operators,0.052631579000000005,0.4775,0.6725833933628602
11,Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,pasta operator,8,81,816,8160,True,2.0,1.9243,2.6844,3.1467,20363.62,39.24095744680851,2790.0,8.677279059332823e-05,3.5007498642779584,0.719869706840391,Other,51-3092.00,food batchmakers,8,36,9,9.2,food & tobacco production workers,food & tobacco production operators,0.166666667,0.5575,0.6816035014196303
12,Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,tobacco shop manager,1,14,142,1420,False,2.0,2.6519999999999997,5.8856,3.8875,27994.312080536914,37.419054652880355,,,3.409419104820805,0.4965509039010465,Other,41-1011.00,first-line supervisors of retail sales workers,2,13,3,3.3,sales & services workers,shop & services managers,0.526315789,0.6575,0.5580746981654875
13,Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,"rental service representative in machinery, equipment and tangible goods",5,52,524,5249,False,2.0,3.3548,3.4515,3.2274000000000003,26156.62068965517,40.682352941176475,,,3.6826097804391207,0.12835866728082296,High risk,41-2021.00,counter and rental clerks,2,12,3,3.2,sales & services workers,customer representatives,0.692307692,0.675,0.4557327154155164
14,Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,mine surveyor,2,21,216,2165,False,4.0,4.8069000000000015,6.6324000000000005,5.4998,32009.151219512198,36.73093220338985,,,3.456286533881791,0.6188568954319115,Other,17-1022.00,surveyors,0,5,1,1.6,"technicians, construction, transport & security workers",mining engineers & technicians,0.647058824,0.4825,0.4126670781877324
15,Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,food safety specialist,2,22,226,2263,True,4.0,6.2732,5.8094,4.5234999999999985,30076.974452554747,35.247249190938504,12806.0,0.0003982983283703473,3.245520266930302,0.7544900313066405,Other,29-9011.00,occupational health and safety specialists,8,37,9,9.3,food & tobacco production workers,food & tobacco production specialists,0.5,0.6475,0.5689903338370521
16,Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based machinery technician,7,72,723,7233,True,3.0,2.9235,5.3724,4.8153,30467.260869565216,41.22962962962964,16589.0,0.0005159554290565458,3.4599112571092374,0.8411453226122769,Other,49-3041.00,farm equipment mechanics and service technicians,0,2,1,1.3,"technicians, construction, transport & security workers","industrial technicians, mechanics & repairers",0.117647059,0.525,0.6806139096617112
17,Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,8,83,833,8331,True,2.0,1.9161,3.7559,2.7974,30433.92767295597,44.861788617886184,44706.0,0.0013904685973009374,3.3978436657681943,0.604724908831457,Other,53-3021.00,"bus drivers, transit and intercity",0,3,1,1.4,"technicians, construction, transport & security workers",transport & security workers,0.076923077,0.7775000000000001,0.8471672253059015
18,Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,import export manager in meat and meat products,1,13,132,1324,False,4.0,6.1669,7.8994,4.166600000000002,38833.807914262165,36.60719424460432,,,3.6143494131780787,0.4670548008501986,High risk,11-3071.03,logistics managers,9,40,10,10.3,logistics workers,import export managers,0.651162791,0.4825,0.4102608357405079
19,Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,2,24,242,2422,False,5.0,7.153899999999998,8.039299999999999,4.6922,33292.98633257403,35.24056603773585,,,3.3018306010928966,0.5404371584699454,Other,13-1111.00,management analysts,1,10,2,2.5,business & administration workers,public officials,0.8888888890000001,0.4125,0.21408720953737512
20,Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,head chef,3,34,343,3434,False,3.0,4.4438,6.999300000000002,3.3324,18518.00896860986,36.038019169329075,,,3.3482570144540285,0.6022106158144055,Other,35-1011.00,chefs and head cooks,2,11,3,3.1,sales & services workers,"food, cleaning & services workers",0.642857143,0.8049999999999999,0.5361902646309424
21,Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,nonwoven filament machine operator,8,81,813,8131,True,2.0,2.1163,2.4383,3.6486,22211.82014388489,39.965625,1699.0,5.2832456243204077e-05,3.3075988970198322,0.8000318167356028,Low risk,51-4021.00,"extruding and drawing machine setters, operators, and tenders, metal and plastic",7,33,8,8.2,"textile, clothing, leather & footwear manufacturing workers",textile workers,0.125,0.5125,0.6696547617989437
22,Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,head of higher education institutions,1,13,134,1345,False,5.0,7.8223,7.2653,4.5064,37429.79668049792,29.50263636363637,,,3.56058789431936,0.3478857770455793,High risk,11-9032.00,"education administrators, elementary and secondary school",6,31,7,7.4,education workers,education administrators,0.7142857140000001,0.5225,0.3863750955160024
23,Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,insulation supervisor,3,31,312,3123,False,3.0,2.8266000000000004,7.5779,6.2029000000000005,31760.00456621005,38.2632183908046,,,3.3669818166296746,0.727164077172614,Other,47-1011.00,first-line supervisors of construction trades and extraction workers,0,1,1,1.2,"technicians, construction, transport & security workers",construction workers & supervisors,0.411764706,0.7075,0.6451174083103013
24,Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,dismantling engineer,2,21,214,2149,True,3.0,4.0063,6.8401999999999985,4.7342,35911.871607515655,38.50286995515695,11552.0,0.00035929027887737113,3.4708214793741106,0.519203413940256,Other,17-3026.00,industrial engineering technicians,4,22,5,5.3,engineers & researchers,"mechanical engineers, designers & drafters",0.5625,0.515,0.4746709386511882
25,Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,insurance claims handler,3,33,331,3315,True,4.0,5.1506,7.296900000000001,4.626600000000002,30599.99386503068,35.068157894736835,22458.0,0.0006984989195580817,3.4110127784493183,0.5087204282507339,Other,13-1031.01,"claims examiners, property and casualty insurance",1,7,2,2.2,business & administration workers,accounting & financial services workers,0.681818182,0.555,0.4202272111489212
26,Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,clothing development manager,1,12,122,1223,False,5.0,8.131799999999998,8.1501,3.8889,50855.39907192576,36.65516549648947,,,3.4713725585305912,0.2706635622817229,Other,11-9121.00,natural sciences managers,7,34,8,8.3,"textile, clothing, leather & footwear manufacturing workers",clothing manufacturing workers,0.7142857140000001,0.4025,0.3391164993258216
27,Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,nitroglycerin separator operator,8,81,813,8131,True,2.0,3.0056000000000003,5.9064999999999985,4.8176999999999985,22211.82014388489,39.965625,1699.0,5.2832456243204077e-05,3.5517608236536433,0.6365364308342133,Other,51-9011.00,chemical equipment operators and tenders,3,17,4,4.2,manufacturing workers,chemical manufacturing workers,0.15,0.5075,0.6567914433060162
28,Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedical engineer,2,21,214,2149,False,4.0,7.28,5.200000000000001,4.4,35911.871607515655,38.50286995515695,,,3.40690573715632,0.5439723716970525,Other,17-2199.01,biochemical engineers,4,21,5,5.2,engineers & researchers,various engineers & architects,0.565217391,0.49,0.4615663315385991
29,Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,legal guardian,3,34,341,3412,True,4.0,5.574299999999999,4.1416,3.2409,22871.190205011393,30.96952200662565,25423.0,0.0007907290523355457,3.539648212226066,0.33679354094578995,High risk,21-1093.00,social and human service assistants,13,52,14,14.2,social workers,care workers & counsellors,0.615384615,0.79,0.551222418040123
30,Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,weaver,7,73,731,7318,True,2.0,2.023,2.9116,3.2023,21611.48780487805,37.80348837209302,2046.0,6.36451146858395e-05,3.5381869876457683,0.6986491167301697,Other,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",7,33,8,8.2,"textile, clothing, leather & footwear manufacturing workers",textile workers,0.176470588,0.4425,0.6036652754714321
