group_name,group_description,id
Science and Engineering Professionals,Graphic and Multimedia Designers,0
Stationary Plant and Machine Operators,Metal Processing Plant Operators,1
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),2
Science and Engineering Associate Professionals,Air Traffic Safety Electronics Technicians,3
Business and Administration Professionals,Advertising and Marketing Professionals,4
Health Associate Professionals,Medical and Pathology Laboratory Technicians ,5
Science and Engineering Associate Professionals,Chemical Engineering Technicians,6
Personal Care Workers,Teachers’ Aides,7
Health Professionals,Physiotherapists ,8
Teaching Professionals,University and Higher Education Teachers,9
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,10
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,11
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,12
Sales Workers,Sales Workers Not Elsewhere Classified,13
Science and Engineering Professionals,Cartographers and Surveyors,14
Health Professionals,Environmental and Occupational Health and Hygiene Professionals,15
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,16
Drivers and Mobile Plant Operators,Bus and Tram Drivers,17
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",18
Business and Administration Professionals,Policy Administration Professionals,19
"Legal, Social, Cultural and Related Associate Professionals",Chefs,20
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,21
Production and Specialized Services Managers,Education Managers,22
Science and Engineering Associate Professionals,Construction Supervisors,23
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,24
Business and Administration Associate Professionals,Valuers and Loss Assessors,25
Administrative and Commercial Managers,Research and Development Managers,26
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,27
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,28
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,29
Handicraft and Printing Workers,"Handicraft Workers in Textile, Leather and Related Materials",30
Building and Related Trades Workers (excluding Electricians),Floor Layers and Tile Setters,31
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,32
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,33
Market-oriented Skilled Agricultural Workers,Apiarists and Sericulturists,34
Business and Administration Associate Professionals,Legal Secretaries,35
Science and Engineering Associate Professionals,Petroleum and Natural Gas Refining Plant Operators,36
Stationary Plant and Machine Operators,Sewing Machine Operators,37
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",38
"Market-oriented Skilled Forestry, Fishery and Hunting Workers",Aquaculture Workers,39
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,40
"Hospitality, Retail and Other Services Managers",Hotel Managers,41
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",42
Science and Engineering Professionals,Telecommunications Engineers,43
