isco,isco_title,level
1,Managers,1
2,Professionals,1
3,Technicians and associate professionals,1
4,Clerical support workers,1
5,Service and sales workers,1
6,"Skilled agricultural, forestry and fishery workers",1
7,Craft and related trades workers,1
8,"Plant and machine operators, and assemblers",1
9,Elementary occupations,1
11,"Chief executives, senior officials and legislators",2
12,Administrative and commercial managers,2
13,Production and specialised services managers,2
14,"Hospitality, retail and other services managers",2
21,Science and engineering professionals,2
22,Health professionals,2
23,Teaching professionals,2
24,Business and administration professionals,2
25,Information and communications technology professionals,2
26,"Legal, social and cultural professionals",2
31,Science and engineering associate professionals,2
32,Health associate professionals,2
33,Business and administration associate professionals,2
34,"Legal, social, cultural and related associate professionals",2
35,Information and communications technicians,2
41,General and keyboard clerks,2
42,Customer services clerks,2
43,Numerical and material recording clerks,2
44,Other clerical support workers,2
51,Personal service workers,2
52,Sales workers,2
53,Personal care workers,2
54,Protective services workers,2
61,Market-oriented skilled agricultural workers,2
62,"Market-oriented skilled forestry, fishery and hunting workers",2
63,"Subsistence farmers, fishers, hunters and gatherers",2
71,"Building and related trades workers, excluding electricians",2
72,"Metal, machinery and related trades workers",2
73,Handicraft and printing workers,2
74,Electrical and electronic trades workers,2
75,"Food processing, wood working, garment and other craft and related trades workers",2
81,Stationary plant and machine operators,2
82,Assemblers,2
83,Drivers and mobile plant operators,2
91,Cleaners and helpers,2
92,"Agricultural, forestry and fishery labourers",2
93,"Labourers in mining, construction, manufacturing and transport",2
94,Food preparation assistants,2
95,Street and related sales and service workers,2
96,Refuse workers and other elementary workers,2
111,Legislators and senior officials,3
112,Managing directors and chief executives,3
121,Business services and administration managers,3
122,"Sales, marketing and development managers",3
131,"Production managers in agriculture, forestry and fisheries",3
132,"Manufacturing, mining, construction, and distribution managers",3
133,Information and communications technology service managers,3
134,Professional services managers,3
141,Hotel and restaurant managers,3
142,Retail and wholesale trade managers,3
143,Other services managers,3
211,Physical and earth science professionals,3
212,"Mathematicians, actuaries and statisticians",3
213,Life science professionals,3
214,Engineering professionals (excluding electrotechnology),3
215,Electrotechnology engineers,3
216,"Architects, planners, surveyors and designers",3
221,Medical doctors,3
222,Nursing and midwifery professionals,3
223,Traditional and complementary medicine professionals,3
224,Paramedical practitioners,3
225,Veterinarians,3
226,Other health professionals,3
231,University and higher education teachers,3
232,Vocational education teachers,3
233,Secondary education teachers,3
234,Primary school and early childhood teachers,3
235,Other teaching professionals,3
241,Finance professionals,3
242,Administration professionals,3
243,"Sales, marketing and public relations professionals",3
251,Software and applications developers and analysts,3
252,Database and network professionals,3
261,Legal professionals,3
262,"Librarians, archivists and curators",3
263,Social and religious professionals,3
264,"Authors, journalists and linguists",3
265,Creative and performing artists,3
311,Physical and engineering science technicians,3
312,"Mining, manufacturing and construction supervisors",3
313,Process control technicians,3
314,Life science technicians and related associate professionals,3
315,Ship and aircraft controllers and technicians,3
321,Medical and pharmaceutical technicians,3
322,Nursing and midwifery associate professionals,3
323,Traditional and complementary medicine associate professionals,3
324,Veterinary technicians and assistants,3
325,Other health associate professionals,3
331,Financial and mathematical associate professionals,3
332,Sales and purchasing agents and brokers,3
333,Business services agents,3
334,Administrative and specialised secretaries,3
335,Regulatory government associate professionals,3
341,"Legal, social and religious associate professionals",3
342,Sports and fitness workers,3
343,"Artistic, cultural and culinary associate professionals",3
351,Information and communications technology operations and user support technicians,3
352,Telecommunications and broadcasting technicians,3
411,General office clerks,3
412,Secretaries (general),3
413,Keyboard operators,3
421,"Tellers, money collectors and related clerks",3
422,Client information workers,3
431,Numerical clerks,3
432,Material-recording and transport clerks,3
441,Other clerical support workers,3
511,"Travel attendants, conductors and guides",3
512,Cooks,3
513,Waiters and bartenders,3
514,"Hairdressers, beauticians and related workers",3
515,Building and housekeeping supervisors,3
516,Other personal services workers,3
521,Street and market salespersons,3
522,Shop salespersons,3
523,Cashiers and ticket clerks,3
524,Other sales workers,3
531,Child care workers and teachers' aides,3
532,Personal care workers in health services,3
541,Protective services workers,3
611,Market gardeners and crop growers,3
612,Animal producers,3
613,Mixed crop and animal producers,3
621,Forestry and related workers,3
622,"Fishery workers, hunters and trappers",3
631,Subsistence crop farmers,3
632,Subsistence livestock farmers,3
633,Subsistence mixed crop and livestock farmers,3
634,"Subsistence fishers, hunters, trappers and gatherers",3
711,Building frame and related trades workers,3
712,Building finishers and related trades workers,3
713,"Painters, building structure cleaners and related trades workers",3
721,"Sheet and structural metal workers, moulders and welders, and related workers",3
722,"Blacksmiths, toolmakers and related trades workers",3
723,Machinery mechanics and repairers,3
731,Handicraft workers,3
732,Printing trades workers,3
741,Electrical equipment installers and repairers,3
742,Electronics and telecommunications installers and repairers,3
751,Food processing and related trades workers,3
752,"Wood treaters, cabinet-makers and related trades workers",3
753,Garment and related trades workers,3
754,Other craft and related workers,3
811,Mining and mineral processing plant operators,3
812,Metal processing and finishing plant operators,3
813,Chemical and photographic products plant and machine operators,3
814,"Rubber, plastic and paper products machine operators",3
815,"Textile, fur and leather products machine operators",3
816,Food and related products machine operators,3
817,Wood processing and papermaking plant operators,3
818,Other stationary plant and machine operators,3
821,Assemblers,3
831,Locomotive engine drivers and related workers,3
832,"Car, van and motorcycle drivers",3
833,Heavy truck and bus drivers,3
834,Mobile plant operators,3
835,Ships' deck crews and related workers,3
911,"Domestic, hotel and office cleaners and helpers",3
912,"Vehicle, window, laundry and other hand cleaning workers",3
921,"Agricultural, forestry and fishery labourers",3
931,Mining and construction labourers,3
932,Manufacturing labourers,3
933,Transport and storage labourers,3
941,Food preparation assistants,3
951,Street and related service workers,3
952,Street vendors (excluding food),3
961,Refuse workers,3
962,Other elementary workers,3
1111,Legislators,4
1112,Senior government officials,4
1113,Traditional chiefs and heads of village,4
1114,Senior officials of special-interest organizations,4
1120,Managing directors and chief executives,4
1211,Finance managers,4
1212,Human resource managers,4
1213,Policy and planning managers,4
1219,Business services and administration managers not elsewhere classified,4
1221,Sales and marketing managers,4
1222,Advertising and public relations managers,4
1223,Research and development managers,4
1311,Agricultural and forestry production managers,4
1312,Aquaculture and fisheries production managers,4
1321,Manufacturing managers,4
1322,Mining managers,4
1323,Construction managers,4
1324,"Supply, distribution and related managers",4
1330,Information and communications technology service managers,4
1341,Child care services managers,4
1342,Health services managers,4
1343,Aged care services managers,4
1344,Social welfare managers,4
1345,Education managers,4
1346,Financial and insurance services branch managers,4
1349,Professional services managers not elsewhere classified,4
1411,Hotel managers,4
1412,Restaurant managers,4
1420,Retail and wholesale trade managers,4
1431,"Sports, recreation and cultural centre managers",4
1439,Services managers not elsewhere classified,4
2111,Physicists and astronomers,4
2112,Meteorologists,4
2113,Chemists,4
2114,Geologists and geophysicists,4
2120,"Mathematicians, actuaries and statisticians",4
2131,"Biologists, botanists, zoologists and related professionals",4
2132,"Farming, forestry and fisheries advisers",4
2133,Environmental protection professionals,4
2141,Industrial and production engineers,4
2142,Civil engineers,4
2143,Environmental engineers,4
2144,Mechanical engineers,4
2145,Chemical engineers,4
2146,"Mining engineers, metallurgists and related professionals",4
2149,Engineering professionals not elsewhere classified,4
